SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
22520,"23","2","Town","Product Collection","1995","Value Pack Italy",,161,,,,,"http://www.1000steine.com/brickset/images/23-2.jpg","No","No",0
22453,"1979","2","Town","Product Collection","1984","Town Value Pack",,78,,,,,,"No","No",0
3356,"65062","1","Racers","Product Collection","2002","Racers Turbo Pack",,87,,10,,,"http://www.1000steine.com/brickset/images/65062-1.jpg","No","No",0
3358,"65071","1","Bionicle","Product Collection","2002","Bionicle Dual Pack: Lehvak & Pahrak",,82,9.99,,,,"http://www.1000steine.com/brickset/images/65071-1.jpg","No","No",0
3360,"65081","1","Star Wars","Product Collection","2002","R2-D2 / C-3PO Droid Collectors Set",,581,,40,,,"http://www.1000steine.com/brickset/images/65081-1.jpg","No","No",0
3364,"65118","1","Alpha Team","Product Collection","2002","Alpha Team Secret Mission Collector's Pack",,242,,35,,,"http://www.1000steine.com/brickset/images/65118-1.jpg","No","No",0
3368,"65145","1","Star Wars","Product Collection","2002","X-wing Fighter / TIE Fighter & Y-wing Collectors Set",,677,,,,,,"No","No",0
5192,"65153","1","Star Wars","Product Collection","2002","Jango Fett's Slave I with Bonus Cargo Case",,360,,50,,,"http://www.1000steine.com/brickset/images/65153-1.jpg","No","No",0
3373,"65182","1","Sports","Product Collection","2003","Slammer Stadium",,22,,40,,,"http://www.1000steine.com/brickset/images/65182-1.jpg","No","No",0
3378,"65221","1","Sports","Product Collection","2003","Street Basketball set with Spalding mini-basketball",,186,,,,,"http://www.1000steine.com/brickset/images/65221-1.jpg","No","No",0
3386,"65295","1","Bionicle","Product Collection","2003","Bionicle twin-pack with gold mask",,50,,8,,,"http://www.1000steine.com/brickset/images/65295-1.jpg","No","No",0
3387,"65296","1","Bionicle","Product Collection","2003","Bionicle twin-pack with gold mask",,50,,8,,,"http://www.1000steine.com/brickset/images/65296-1.jpg","No","No",0
3388,"65297","1","Bionicle","Product Collection","2003","Bionicle twin-pack with gold mask",,50,,8,,,"http://www.1000steine.com/brickset/images/65297-1.jpg","No","No",0
10698,"65355","1","Bionicle","Product Collection","2003","Bonus/Value Pack",,199,,,,,,"No","No",0
13327,"65407","1","Explore","Product Collection","2003","Bonus/Value Pack",,35,,,,,,"No","No",0
10699,"65409","1","Bionicle","Product Collection","2004","Bonus/Value Pack",,92,,,,,,"No","No",0
10701,"65410","1","Bionicle","Product Collection","2004","Bonus/Value Pack",,92,,,,,,"No","No",0
10703,"65411","1","Bionicle","Product Collection","2004","Bonus/Value Pack",,97,,,,,,"No","No",0
13659,"65412","1","Castle","Product Collection","2004","Bonus/Value Pack",,91,,,,,,"No","No",0
13661,"65413","1","Castle","Product Collection","2004","Bonus/Value Pack",,94,,,,,,"No","No",0
10705,"65414","1","Bionicle","Product Collection","2004","Bonus/Value Pack",,54,,,,,,"No","No",0
10707,"65415","1","Bionicle","Product Collection","2004","Bonus/Value Pack",,54,,,,,,"No","No",0
10709,"65416","1","Bionicle","Product Collection","2004","Bonus/Value Pack",,57,,,,,,"No","No",0
14880,"65417","1","Racers","Product Collection","2004","Bonus/Value Pack",,151,,,,,,"No","No",0
