SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
9815,"850425","1","Miscellaneous","Desk accessory","2012","Desk Business Card Holder",2,150,11.39,14.99,18.49,,"http://www.1000steine.com/brickset/images/850425-1.jpg","No","No",0
9821,"850426","1","Miscellaneous","Desk accessory","2012","Pencil Holder",1,157,11.39,14.99,17.99,,"http://www.1000steine.com/brickset/images/850426-1.jpg","No","No",0
9679,"850445","1","Ninjago","","2012","Ninjago Character Card Shrine",1,88,12.99,14.99,16.99,12.99,"http://www.1000steine.com/brickset/images/850445-1.jpg","No","No",0
9678,"850449","1","Collectable Minifigures","Combi-pack","2012","Minifigure Accessory Pack",3,63,9.99,14.99,15.49,12.99,"http://www.1000steine.com/brickset/images/850449-1.jpg","No","No",0
9681,"850458","1","Collectable Minifigures","Combi-pack","2012","VIP Top 5 Boxed Minifigures",5,37,14.99,2.99,,,"http://www.1000steine.com/brickset/images/850458-1.jpg","No","No",0
9809,"850486","1","Collectable Minifigures","Combi-pack","2012","Rock Band Minifigure Accessory Set",3,62,9.99,14.99,18.43,,"http://www.1000steine.com/brickset/images/850486-1.jpg","No","No",0
9817,"850487","1","Collectable Minifigures","Combi-pack","2012","Halloween Accessory Set",3,58,9.99,14.99,17.99,,"http://www.1000steine.com/brickset/images/850487-1.jpg","No","No",0
10132,"850503","1","Seasonal","Christmas","2012","Holiday Bauble",,3,2.99,7.99,,,,"No","No",0
10364,"850581","1","Friends","","2013","Friends Brick Calendar",,140,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850581-1.jpg","No","No",0
22580,"850617","1","City","Police","2013","Police Accessory Pack",4,34,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850617-1.jpg","No","No",0
22579,"850618","1","City","Fire","2013","Fire Accessory Pack",4,43,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850618-1.jpg","No","No",0
22584,"850632","1","Ninjago","Booster pack","2013","Samurai Accessory Set",4,36,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850632-1.jpg","No","No",0
22582,"850702","1","Miscellaneous","Photo frames/albums","2013","Classic Picture Frame",,55,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850702-1.jpg","No","No",0
22836,"850751","1","Miscellaneous","Photo frames/albums","2013","Orlando Picture Frame",,102,,14.99,,,"http://www.1000steine.com/brickset/images/850751-1.jpg","No","No",0
22806,"850777","1","Legends Of Chima","","2013","Legends of Chima Accessory Set",,,7.99,12.99,15.99,,"http://www.1000steine.com/brickset/images/850777-1.jpg","No","No",0
22805,"850779","1","Legends Of Chima","","2013","Legends of Chima Minifigure Accessory Set",4,42,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850779-1.jpg","No","No",0
22800,"850791","1","Seasonal","Birthday","2013","LEGO Minifigure Birthday Set",2,28,6.99,7.99,9.99,,"http://www.1000steine.com/brickset/images/850791-1.jpg","No","No",0
22996,"850839","1","Pirates","","2013","Classic Pirate Set",4,39,10.49,14.99,17.99,,"http://www.1000steine.com/brickset/images/850839-1.jpg","No","No",0
23008,"850842","1","Seasonal","Christmas","2013","LEGO City Fire Truck Holiday Bauble",,34,,7.99,9.99,,"http://www.1000steine.com/brickset/images/850842-1.jpg","No","No",0
23009,"850843","1","Seasonal","Christmas","2013","LEGO Creator T-Rex Holiday Bauble",,25,,7.99,9.99,,"http://www.1000steine.com/brickset/images/850843-1.jpg","No","No",0
23010,"850849","1","Seasonal","Christmas","2013","LEGO Friends Doghouse Holiday Bauble",,29,,7.99,9.99,,"http://www.1000steine.com/brickset/images/850849-1.jpg","No","No",0
23007,"850850","1","Seasonal","Christmas","2013","LEGO Santa Holiday Bauble",,23,6.99,7.99,9.99,,"http://www.1000steine.com/brickset/images/850850-1.jpg","No","No",0
23005,"850851","1","Seasonal","Christmas","2013","LEGO Tree Holiday Bauble",,26,6.99,7.99,9.99,,"http://www.1000steine.com/brickset/images/850851-1.jpg","No","No",0
23006,"850852","1","Seasonal","Christmas","2013","LEGO Reindeer Holiday Bauble",,21,6.99,7.99,9.99,,"http://www.1000steine.com/brickset/images/850852-1.jpg","No","No",0
23496,"850888","1","Castle","Lion Knights","2014","Castle Knights Accessory Set",,32,10.99,14.99,17.99,,"http://www.1000steine.com/brickset/images/850888-1.jpg","No","No",0
23497,"850889","1","Castle","Dragon Knights","2014","Castle Dragons Accessory Set",,42,10.99,14.99,17.99,,"http://www.1000steine.com/brickset/images/850889-1.jpg","No","No",0
23506,"850910","1","Legends Of Chima","","2014","Legends of Chima Minifigure Accessory Set",,,10.99,14.99,17.99,,"http://www.1000steine.com/brickset/images/850910-1.jpg","No","No",0
23527,"850935","1","Miscellaneous","","2014","Classic Minifigure Graduation Set",,30,,7.99,9.99,,"http://www.1000steine.com/brickset/images/850935-1.jpg","No","No",0
6515,"852271","1","Castle","Battle Pack","2008","Knights Battle Pack",5,35,8.79,14.99,,,"http://www.1000steine.com/brickset/images/852271-1.jpg","No","No",0
6514,"852272","1","Castle","Battle Pack","2008","Skeletons Battle Pack",5,43,8.79,14.99,,,"http://www.1000steine.com/brickset/images/852272-1.jpg","No","No",0
6614,"852331","1","Miscellaneous","Minifigures","2008","Vintage Minifigure Collection Vol. 1",5,21,11.75,17.99,,,"http://www.1000steine.com/brickset/images/852331-1.jpg","No","No",0
7077,"852535","1","Miscellaneous","Minifigures","2009","Vintage Minifigure Collection Vol. 2",5,24,11.75,17.99,,,"http://www.1000steine.com/brickset/images/852535-1.jpg","No","No",0
7136,"852697","1","Miscellaneous","Minifigures","2009","Vintage Minifigure Collection Vol. 3",5,22,11.75,17.99,,,"http://www.1000steine.com/brickset/images/852697-1.jpg","No","No",0
7163,"852701","1","Castle","Battle Pack","2009","Troll Warrior Battle Pack",5,36,8.79,14.99,,,"http://www.1000steine.com/brickset/images/852701-1.jpg","No","No",0
7164,"852702","1","Castle","Battle Pack","2009","Dwarf Warrior Battle Pack",5,45,8.79,14.99,,,"http://www.1000steine.com/brickset/images/852702-1.jpg","No","No",0
7201,"852747","1","Pirates","Accessories","2009","Pirates Battle Pack",4,37,8.79,14.99,,,"http://www.1000steine.com/brickset/images/852747-1.jpg","No","No",0
7202,"852753","1","Miscellaneous","Minifigures","2009","Vintage Minifigure Collection Vol. 4",5,41,11.75,17.99,,,"http://www.1000steine.com/brickset/images/852753-1.jpg","No","No",0
7916,"852769","1","Miscellaneous","Minifigures","2010","Vintage Minifigure Collection Vol. 5",5,20,11.99,17.99,24.99,,"http://www.1000steine.com/brickset/images/852769-1.jpg","No","No",0
8023,"852921","1","Castle","Kingdoms","2010","Battle Pack",5,18,8.99,14.99,19.99,,"http://www.1000steine.com/brickset/images/852921-1.jpg","No","No",0
8024,"852922","1","Castle","Kingdoms","2010","Battle Pack",5,17,8.99,14.99,19.99,,"http://www.1000steine.com/brickset/images/852922-1.jpg","No","No",0
10120,"852995","1","Miscellaneous","","2010","Ducks",,15,,,,,"http://www.1000steine.com/brickset/images/852995-1.jpg","No","No",0
8093,"852996","1","Promotional","Minifigure","2010","LEGO Club Max",1,4,0,0,,,"http://www.1000steine.com/brickset/images/852996-1.jpg","No","No",0
8621,"853111","1","Ninjago","","2011","{Exclusive Weapon Training Set}",1,26,,,,,"http://www.1000steine.com/brickset/images/853111-1.jpg","No","No",0
8441,"853176","1","Pharaoh's Quest","","2011","Skeleton Mummy Battle Pack",3,29,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853176-1.jpg","No","No",0
8761,"853195","1","Miscellaneous","Desk accessory","2011","Brick Calendar",2,120,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853195-1.jpg","No","No",0
8784,"853219","1","Pirates of the Caribbean","","2011","Pirates of the Caribbean Battle Pack",5,30,9.99,14.99,15.49,9.99,"http://www.1000steine.com/brickset/images/853219-1.jpg","No","No",0
8756,"853301","1","Space","Alien Conquest","2011","Alien Conquest Battle Pack",5,31,9.99,14.99,15.49,12.99,"http://www.1000steine.com/brickset/images/853301-1.jpg","No","No",0
8972,"853340","1","Miscellaneous","","2011","Minifigure Wedding Favour Set",2,24,6.99,7.99,9.99,7.99,"http://www.1000steine.com/brickset/images/853340-1.jpg","No","No",0
9086,"853344","1","Seasonal","Christmas","2011","Holiday Bauble with Red Bricks",,30,6.99,7.99,9.99,,"http://www.1000steine.com/brickset/images/853344-1.jpg","No","No",0
9087,"853345","1","Seasonal","Christmas","2011","Holiday Bauble with Gold Bricks",,40,6.99,7.99,9.99,7.99,"http://www.1000steine.com/brickset/images/853345-1.jpg","No","No",0
9088,"853346","1","Seasonal","Christmas","2011","Holiday Bauble with Green Bricks",,36,6.99,7.99,9.99,7.99,"http://www.1000steine.com/brickset/images/853346-1.jpg","No","No",0
8849,"853358","1","Games","Heroica","2011","LEGO HEROICA Storage Mat",,17,24.99,34.99,44.99,34.99,"http://www.1000steine.com/brickset/images/853358-1.jpg","No","No",0
9371,"853378","1","City","Forest Fire","2012","LEGO City Accessory Pack",4,43,9.99,14.99,15.49,12.99,"http://www.1000steine.com/brickset/images/853378-1.jpg","No","No",0
9362,"853393","1","Miscellaneous","Photo frames/albums","2012","LEGO Friends Picture Frame",,49,9.99,14.99,16.99,12.99,"http://www.1000steine.com/brickset/images/853393-1.jpg","No","No",0
23391,"951178","1","Dacta","","1987","Basic Bricks",,18,,,,,"http://www.1000steine.com/brickset/images/951178-1.jpg","No","No",0
8854,"2852724","1","Mindstorms","NXT","2011","Accelerometer Sensor",,1,49.99,54.99,69.99,39.99,"http://www.1000steine.com/brickset/images/2852724-1.jpg","No","No",0
8853,"2852725","1","Mindstorms","NXT","2011","Infrared Seeker",,1,39.99,49.99,69.99,44.99,"http://www.1000steine.com/brickset/images/2852725-1.jpg","No","No",0
8852,"2852726","1","Mindstorms","NXT","2011","Gyroscopic Sensor",,1,49.99,54.99,69.99,57.99,"http://www.1000steine.com/brickset/images/2852726-1.jpg","No","No",0
8851,"2853216","1","Mindstorms","NXT","2011","Infrared Link Sensor",,1,39.99,54.99,69.99,48.99,"http://www.1000steine.com/brickset/images/2853216-1.jpg","No","No",0
7873,"2853588","1","Games","","2010","Promo Goldener Würfel (Golden dice)",,7,,,,,"http://www.1000steine.com/brickset/images/2853588-1.jpg","No","No",0
7921,"2853590","1","Star Wars","Minifig Pack","2010","Chrome Stormtrooper",1,5,,2.99,,,"http://www.1000steine.com/brickset/images/2853590-1.jpg","No","No",0
8069,"2853835","1","Star Wars","Minifig Pack","2010","White Boba Fett Figure",1,5,,,,,"http://www.1000steine.com/brickset/images/2853835-1.jpg","No","No",0
8218,"2853944","1","Miscellaneous","LEGO Universe","2010","Astronaut",1,5,,,,,"http://www.1000steine.com/brickset/images/2853944-1.jpg","No","No",0
8032,"2855040","1","Mindstorms","NXT","2010","Mindstorms NXT IR Receiver",,1,39.99,49.99,69.99,44.99,"http://www.1000steine.com/brickset/images/2855040-1.jpg","No","No",0
8850,"2856079","1","Games","","2011","Creationary Booster Pack",,10,,3.99,4.49,,"http://www.1000steine.com/brickset/images/2856079-1.jpg","No","No",0
8828,"2856134","1","Ninjago","","2011","Ninjago Card Shrine",,98,3.99,6.99,7.49,4.99,"http://www.1000steine.com/brickset/images/2856134-1.jpg","No","No",0
