SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
6036,"851524","1","Gear","Housewares","2007","Egg Cup Set",,,4.89,,,,"http://www.1000steine.com/brickset/images/851524-1.jpg","No","No",0
6740,"851537","1","Gear","Key Chains/City","2007","Firefighter Keychain",,,2.95,,,,"http://www.1000steine.com/brickset/images/851537-1.jpg","No","No",0
6135,"851591","1","Gear","Role-play toys","2007","Piraka Ball Shooter",,,,19.99,,,"http://www.1000steine.com/brickset/images/851591-1.jpg","No","No",0
5899,"851617","1","Gear","Housewares","2007","LEGOville Zoo Dinner Set",,,8.99,14.99,,,"http://www.1000steine.com/brickset/images/851617-1.jpg","No","No",0
6545,"851624","1","Gear","Clothing","2007","City Police Cap",,,7.49,,,,"http://www.1000steine.com/brickset/images/851624-1.jpg","No","No",0
5940,"851625","1","Gear","Role-play toys","2007","Toy Police Badge",,,4.99,,,,"http://www.1000steine.com/brickset/images/851625-1.jpg","No","No",0
6573,"851626","1","Gear","Key Chains/City","2008","Police Officer Key Chain",,,2.99,4.99,5.99,,"http://www.1000steine.com/brickset/images/851626-1.jpg","No","No",0
5947,"851627","1","Gear","Key Chains/Miscellaneous","2007","Key Chain Name Kit",,,2.99,4.99,,,"http://www.1000steine.com/brickset/images/851627-1.jpg","No","No",0
5932,"851641","1","Gear","Trading/Playing cards","2007","City Memory Game",,,6.49,7.99,,,"http://www.1000steine.com/brickset/images/851641-1.jpg","No","No",0
6149,"851648","1","Gear","Stationery","2007","Magnetic Notepad",,,,4.99,,,"http://www.1000steine.com/brickset/images/851648-1.jpg","No","No",0
6709,"851652","1","Gear","Housewares","2007","Corkscrew & Bottle Opener",,,6.99,,,,"http://www.1000steine.com/brickset/images/851652-1.jpg","No","No",0
6686,"851659","1","Gear","Key Chains/Star Wars","2008","Boba Fett Keyring",,,2.99,4.99,5.49,3.99,"http://www.1000steine.com/brickset/images/851659-1.jpg","No","No",0
6722,"851680","1","Gear","Seasonal","2007","Santa Gift Wrap and Tags",,,1.95,,,,"http://www.1000steine.com/brickset/images/851680-1.jpg","No","No",0
6481,"851683","1","Gear","Key Chains/Star Wars","2006","Imperial Royal Guard Keyring",,,2.95,4.99,,,"http://www.1000steine.com/brickset/images/851683-1.jpg","No","No",0
6743,"851686","1","Gear","Key Chains/Batman","2007","Batman Keyring",,,2.99,,,,"http://www.1000steine.com/brickset/images/851686-1.jpg","No","No",0
5832,"851687","1","Gear","Key Chains/Batman","2007","Robin Key Chain",,,2.99,3.99,,,"http://www.1000steine.com/brickset/images/851687-1.jpg","No","No",0
