SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
5728,"8929","1","Bionicle","Matoran","2007","Defilak",,37,3.99,4.99,,,"http://www.1000steine.com/brickset/images/8929-1.jpg","No","No",0
5729,"8930","1","Bionicle","Matoran","2007","Dekar",,37,3.99,4.99,,,"http://www.1000steine.com/brickset/images/8930-1.jpg","No","No",0
5730,"8931","1","Bionicle","Matoran","2007","Thulox",,39,3.99,5,,,"http://www.1000steine.com/brickset/images/8931-1.jpg","No","No",0
5731,"8932","1","Bionicle","Matoran","2007","Morak",,40,3.99,4.99,,,"http://www.1000steine.com/brickset/images/8932-1.jpg","No","No",0
5750,"8934","1","Bionicle","Accessories","2007","Squid Ammo",,7,1.99,1.99,,,"http://www.1000steine.com/brickset/images/8934-1.jpg","No","No",0
5764,"8935","1","Bionicle","Warriors","2007","Nocturn",,116,14.99,14.99,,,"http://www.1000steine.com/brickset/images/8935-1.jpg","No","No",0
6127,"8939","1","Bionicle","Warriors","2007","Lesovikk",,149,14.99,19.99,,,"http://www.1000steine.com/brickset/images/8939-1.jpg","No","No",0
5980,"8940","1","Bionicle","Warriors","2007","Karzahni",,373,24.99,39.99,,,"http://www.1000steine.com/brickset/images/8940-1.jpg","No","No",0
6401,"8941","1","Bionicle","Battle Vehicles","2008","Rockoh T3",,390,29.35,39.99,,,"http://www.1000steine.com/brickset/images/8941-1.jpg","No","No",0
6402,"8942","1","Bionicle","Battle Vehicles","2008","Jetrax T6",,422,39.15,49.99,,,"http://www.1000steine.com/brickset/images/8942-1.jpg","No","No",0
6668,"8942","2","Bionicle","Battle Vehicles","2008","Jetrax T6",,422,39.15,49.99,,,"http://www.1000steine.com/brickset/images/8942-2.jpg","No","No",0
6403,"8943","1","Bionicle","Battle Vehicles","2008","Axalara T9",,693,48.95,79.99,,,"http://www.1000steine.com/brickset/images/8943-1.jpg","No","No",0
6250,"8944","1","Bionicle","Matoran","2008","Tanma",,14,3.99,6.99,,,"http://www.1000steine.com/brickset/images/8944-1.jpg","No","No",0
6251,"8945","1","Bionicle","Matoran","2008","Solek",,14,3.99,6.99,,,"http://www.1000steine.com/brickset/images/8945-1.jpg","No","No",0
6252,"8946","1","Bionicle","Matoran","2008","Photok",,14,3.99,6.99,,,"http://www.1000steine.com/brickset/images/8946-1.jpg","No","No",0
