SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
8229,"7929","1","Star Wars","Episode I","2011","The Battle of Naboo",12,241,25.99,24.99,34.99,29.99,"http://www.1000steine.com/brickset/images/7929-1.jpg","No","No",0
4071,"7930","0","Clikits","","2004","Promotional Set",,1,,,,,"http://www.1000steine.com/brickset/images/7930-0.jpg","No","No",0
8332,"7930","1","Star Wars","The Clone Wars","2011","Bounty Hunter Assault Gunship",4,389,40.99,49.99,64.99,49.99,"http://www.1000steine.com/brickset/images/7930-1.jpg","No","No",0
4072,"7931","0","Clikits","","2004","Promotional Set",,1,,,,,"http://www.1000steine.com/brickset/images/7931-0.jpg","No","No",0
8333,"7931","1","Star Wars","The Clone Wars","2011","T-6 Jedi Shuttle",4,389,49.99,59.99,79.99,69.99,"http://www.1000steine.com/brickset/images/7931-1.jpg","No","No",0
7611,"7936","1","City","Trains","2010","Level Crossing",1,142,15.99,19.99,26.99,16.99,"http://www.1000steine.com/brickset/images/7936-1.jpg","No","No",0
7610,"7937","1","City","Trains","2010","Train Station",4,361,35.99,49.99,69.99,39.99,"http://www.1000steine.com/brickset/images/7937-1.jpg","No","No",0
7609,"7938","1","City","Trains","2010","Passenger Train",3,669,102.99,129.99,169.99,109.99,"http://www.1000steine.com/brickset/images/7938-1.jpg","No","No",0
7608,"7939","1","City","Trains","2010","Cargo Train",4,839,129.99,179.99,239.99,169.99,"http://www.1000steine.com/brickset/images/7939-1.jpg","No","No",0
5557,"7942","1","City","Fire","2007","Off-Road Fire Rescue",1,131,9.99,9.99,12.99,11.99,"http://www.1000steine.com/brickset/images/7942-1.jpg","No","No",0
5558,"7944","1","City","Fire","2007","Fire Hovercraft",3,274,24.99,29.99,,,"http://www.1000steine.com/brickset/images/7944-1.jpg","No","No",0
5559,"7945","1","City","Fire","2007","Fire Station",4,600,44.05,59.99,,,"http://www.1000steine.com/brickset/images/7945-1.jpg","No","No",0
7604,"7946","1","Castle","Kingdoms","2010","King's Castle",8,933,81.99,99.99,129.99,99.99,"http://www.1000steine.com/brickset/images/7946-1.jpg","No","No",0
7603,"7947","1","Castle","Kingdoms","2010","Prison Tower Rescue",5,365,45.99,49.99,69.99,49.99,"http://www.1000steine.com/brickset/images/7947-1.jpg","No","No",0
7602,"7948","1","Castle","Kingdoms","2010","Outpost Attack",3,194,20.99,19.99,26.99,19.99,"http://www.1000steine.com/brickset/images/7948-1.jpg","No","No",0
7605,"7949","1","Castle","Kingdoms","2010","Prison Carriage Rescue",3,50,10.49,9.99,12.99,9.99,"http://www.1000steine.com/brickset/images/7949-1.jpg","No","No",0
7612,"7950","1","Castle","Kingdoms","2010","Knight's Showdown",2,61,4.99,6.99,9.99,6.99,"http://www.1000steine.com/brickset/images/7950-1.jpg","No","No",0
22448,"7951","1","Duplo","","2001","XL Bucket",1,78,,,,,,"No","No",0
7647,"7952","1","Castle","Seasonal","2010","Kingdoms Advent Calendar",9,167,24.99,34.99,39.99,,"http://www.1000steine.com/brickset/images/7952-1.jpg","No","No",0
7613,"7953","1","Castle","Kingdoms","2010","Court Jester",1,22,2.99,3.99,4.99,,"http://www.1000steine.com/brickset/images/7953-1.jpg","No","No",0
7614,"7955","1","Castle","Kingdoms","2010","Wizard",1,19,2.99,3.99,4.99,,"http://www.1000steine.com/brickset/images/7955-1.jpg","No","No",0
8585,"7956","1","Star Wars","Episode IV-VI","2011","Ewok Attack",3,166,25.99,24.99,34.99,29.99,"http://www.1000steine.com/brickset/images/7956-1.jpg","No","No",0
8586,"7957","1","Star Wars","The Clone Wars","2011","Sith Nightspeeder",3,213,25.99,24.99,34.99,29.99,"http://www.1000steine.com/brickset/images/7957-1.jpg","No","No",0
8587,"7958","1","Star Wars","Seasonal","2011","Star Wars Advent Calendar",9,266,24.99,39.99,49.99,29.99,"http://www.1000steine.com/brickset/images/7958-1.jpg","No","No",0
8588,"7959","1","Star Wars","The Clone Wars","2011","Geonosian Starfighter",3,155,29.99,29.99,39.99,39.99,"http://www.1000steine.com/brickset/images/7959-1.jpg","No","No",0
8589,"7961","1","Star Wars","Episode I","2011","Darth Maul's Sith Infiltrator",4,479,59.99,69.99,89.99,69.99,"http://www.1000steine.com/brickset/images/7961-1.jpg","No","No",0
8590,"7962","1","Star Wars","Episode I","2011","Anakin Skywalker and Sebulba's Podracers",5,810,81.99,89.99,119.99,99.99,"http://www.1000steine.com/brickset/images/7962-1.jpg","No","No",0
8591,"7964","1","Star Wars","The Clone Wars","2011","Republic Frigate",5,1015,102.99,119.99,154.99,129.99,"http://www.1000steine.com/brickset/images/7964-1.jpg","No","No",0
8592,"7965","1","Star Wars","Episode IV-VI","2011","Millennium Falcon",6,1254,132.99,139.99,179.99,149.99,"http://www.1000steine.com/brickset/images/7965-1.jpg","No","No",0
