SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
7982,"MMMB023","1","Promotional","Monthly Mini Model Build","2010","Chick",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB023-1.jpg","No","No",0
8018,"MMMB024","1","Promotional","Monthly Mini Model Build","2010","Truck",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB024-1.jpg","No","No",0
8045,"MMMB025","1","Promotional","Monthly Mini Model Build","2010","Barbeque",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB025-1.jpg","No","No",0
8096,"MMMB026","1","Promotional","Monthly Mini Model Build","2010","Watermelon",,43,0,0,,,"http://www.1000steine.com/brickset/images/MMMB026-1.jpg","No","No",0
8097,"MMMB027","1","Promotional","Monthly Mini Model Build","2010","Seagull",,29,0,0,,,"http://www.1000steine.com/brickset/images/MMMB027-1.jpg","No","No",0
8107,"MMMB028","1","Promotional","Monthly Mini Model Build","2010","Boy with Backpack",,41,0,0,,,"http://www.1000steine.com/brickset/images/MMMB028-1.jpg","No","No",0
8186,"MMMB029","1","Promotional","Monthly Mini Model Build","2010","Monster",,49,0,0,,,"http://www.1000steine.com/brickset/images/MMMB029-1.jpg","No","No",0
8339,"MMMB030","1","Promotional","Monthly Mini Model Build","2010","Turkey Dinner",,47,0,0,,,"http://www.1000steine.com/brickset/images/MMMB030-1.jpg","No","No",0
8340,"MMMB031","1","Promotional","Monthly Mini Model Build","2010","Fire Place",,39,0,0,,,"http://www.1000steine.com/brickset/images/MMMB031-1.jpg","No","No",0
8443,"MMMB032","1","Promotional","Monthly Mini Model Build","2010","Christmas Tree",,39,0,0,,,"http://www.1000steine.com/brickset/images/MMMB032-1.jpg","No","No",0
8464,"MMMB033","1","Promotional","Monthly Mini Model Build","2011","Polar Bear",,45,0,0,,,"http://www.1000steine.com/brickset/images/MMMB033-1.jpg","No","No",0
8747,"MMMB034","1","Promotional","Monthly Mini Model Build","2011","Skier",,43,0,0,,,"http://www.1000steine.com/brickset/images/MMMB034-1.jpg","No","No",0
8748,"MMMB035","1","Promotional","Monthly Mini Model Build","2011","Bird",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB035-1.jpg","No","No",0
8749,"MMMB036","1","Promotional","Monthly Mini Model Build","2011","Watering Can",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB036-1.jpg","No","No",0
8750,"MMMB037","1","Promotional","Monthly Mini Model Build","2011","Flower",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB037-1.jpg","No","No",0
8754,"MMMB038","1","Promotional","Monthly Mini Model Build","2011","Graduate",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB038-1.jpg","No","No",0
9027,"MMMB039","1","Promotional","Monthly Mini Model Build","2011","Lighthouse",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB039-1.jpg","No","No",0
9028,"MMMB040","1","Promotional","Monthly Mini Model Build","2011","Chair",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB040-1.jpg","No","No",0
9029,"MMMB041","1","Promotional","Monthly Mini Model Build","2011","Scarecrow",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB041-1.jpg","No","No",0
9030,"MMMB042","1","Promotional","Monthly Mini Model Build","2011","Dracula",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB042-1.jpg","No","No",0
9100,"MMMB043","1","Promotional","Monthly Mini Model Build","2011","Acorn",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB043-1.jpg","No","No",0
9101,"MMMB044","1","Promotional","Monthly Mini Model Build","2011","Turkey",,,0,0,,,"http://www.1000steine.com/brickset/images/MMMB044-1.jpg","No","No",0
9102,"MMMB045","1","Promotional","Monthly Mini Model Build","2011","Nutcracker Toy Soldier",,35,0,0,,,"http://www.1000steine.com/brickset/images/MMMB045-1.jpg","No","No",0
22583,"MUNICH","1","Promotional","LEGO Store Grand Opening Set","2013","Munich Pasing, Germany, Exclusive Minifigure Pack",3,12,0,0,,,"http://www.1000steine.com/brickset/images/MUNICH-1.jpg","No","No",0
23131,"MURRAY","1","Promotional","LEGO Store Grand Opening Set","2013","Murray Exclusive Minifigure Pack",,,,,,,"http://www.1000steine.com/brickset/images/MURRAY-1.jpg","No","No",0
9635,"NASHVILLE","1","Promotional","LEGO Store Grand Opening Set","2012","Nashville Exclusive Minifigure Pack",3,15,,0,,,"http://www.1000steine.com/brickset/images/NASHVILLE-1.jpg","No","No",0
